iter	MultiClass
0	1.190929029
1	1.083482606
2	1.015139921
3	0.9681686818
4	0.9345010314
5	0.910032636
6	0.8920677238
7	0.8785455987
8	0.8669461282
9	0.8587175732
10	0.8529829648
11	0.8487493731
12	0.8452337895
13	0.8422393676
14	0.8403805338
15	0.8387634119
16	0.8369598744
17	0.8359521247
18	0.8352639885
19	0.8345835836
20	0.8337337624
21	0.8333444623
22	0.8331174203
23	0.8327415274
24	0.8322966544
25	0.8321408344
26	0.8319417394
27	0.8316164186
28	0.8313413486
29	0.831261962
30	0.8311171772
31	0.8310522145
32	0.8308959532
33	0.8307840686
34	0.8307349574
35	0.8305922121
36	0.8305066887
37	0.8303957638
38	0.8303185112
39	0.8302798078
40	0.8301862215
41	0.8301278368
42	0.8299218972
43	0.8298589089
44	0.8297757396
45	0.8297420879
46	0.8296601892
47	0.8295712118
48	0.8294963709
49	0.8294269703
