iter	Passed	Remaining
0	109	5381
1	196	4721
2	288	4518
3	384	4426
4	470	4231
5	556	4077
6	640	3935
7	730	3837
8	818	3727
9	902	3610
10	986	3498
11	1066	3378
12	1156	3292
13	1241	3193
14	1338	3124
15	1438	3055
16	1532	2974
17	1615	2872
18	1719	2805
19	1809	2713
20	1900	2624
21	1987	2528
22	2065	2425
23	2165	2345
24	2257	2257
25	2341	2161
26	2428	2068
27	2529	1987
28	2617	1895
29	2718	1812
30	2828	1733
31	2914	1639
32	3004	1547
33	3098	1457
34	3174	1360
35	3272	1272
36	3371	1184
37	3466	1094
38	3550	1001
39	3647	911
40	3741	821
41	3827	729
42	3916	637
43	4006	546
44	4090	454
45	4174	363
46	4264	272
47	4359	181
48	4445	90
49	4537	0
